,streams
642,223319934
853,138334433
612,290228626
738,89566512
546,342779426
725,2591224264
683,181328253
98,983637508
804,53603447
727,1457139296
573,566954746
406,556585270
502,391251368
47,1647990401
32,843957510
779,68895644
200,86773632
134,1217120710
27,61245289
837,333146475
230,822633917
489,328207708
772,271666301
378,1061966512
288,705469769
418,482257456
674,1180896317
391,122763672
592,506778838
498,78139948
138,2559529074
62,720434240
471,242767149
647,177129919
128,2355719893
929,146223492
520,726837877
64,674072710
812,121077868
14,2513188493
156,618885532
40,354495408
492,809306935
379,32526947
187,2132335812
763,301242089
216,532336353
791,150500965
52,153372011
337,125917280
748,157990698
719,797196073
724,2204080728
295,652704649
701,546191065
251,231332117
726,135444283
461,403939487
455,98709329
949,121871870
815,65719930
269,96180277
201,133753727
161,657723613
555,1763363713
729,694525298
401,1301799902
702,229473310
476,295998468
821,71423324
771,173702135
105,77309611
565,1256880657
389,480507035
1,133716286
891,97610446
935,170413877
561,354065229
80,2009094673
205,65496046
34,618990393
775,479655659
508,119238316
427,972509632
454,404664135
366,1022258230
91,95131998
339,95623148
564,672656250
345,303216294
776,126191104
241,217672943
13,387570742
315,165584767
600,851070493
387,297328960
273,147290338
166,1593270737
840,195918494
945,93367537
646,596152090
818,54682594
484,57144458
933,253650850
504,339659802
831,290833204
243,939844851
566,1692897992
875,85924992
562,1143647827
686,563902868
189,2135158446
782,319546754
699,756907987
475,135723538
681,50746620
510,888046992
58,16011326
474,62019074
560,501541661
856,1122364376
747,126443991
252,415932686
21,52135248
313,116334601
459,395591396
160,436027885
276,76910644
191,350381515
385,152850295
805,160035717
413,304079786
491,180577478
343,83021468
769,127309180
308,743693613
661,426204830
130,96273746
663,554875730
871,1553497987
99,118482347
372,723894473
87,1440757818
458,94005786
330,272377463
214,37126685
466,473248298
121,211050784
614,1180094974
20,86444842
700,682475162
71,2557975762
106,1605224506
270,185240616
860,184807630
435,181831132
102,172825906
